Running from CLI
start Checking products
JSG11633E not exist
JSG11652B not exist
JSG11654E not exist
JSG11671F not exist
JSG11672H not exist
JSG11673E not exist
JSG11712B not exist
JSG11714E not exist
JSG11751F not exist
JSG11752G not exist
JSG11753E not exist
JSG11772B not exist
JSG11774E not exist
JSG11791F not exist
JSG11792G not exist
JSG11793E not exist
JSG11812B not exist
JSG11813E not exist
JSG11832B not exist
JSG11833E not exist
JSG12052D not exist
JSG12091A not exist
JSG12092C not exist
JSG12093D not exist
JSG12132B not exist
JSG12133B not exist
JSG12171G not exist
JSG12172J not exist
JSG12291F not exist
JSG12292H not exist
JSE20091F not exist
JSE20151C not exist
JSE20171C not exist
JSE20351D not exist
JSE20393B not exist
JSE20412A not exist
JSE20413H not exist
JSD30033F not exist
JSD30033B not exist
JSD30052C not exist
JSD30053E not exist
JSD30072F not exist
JSD30091C not exist
JSD30092H not exist
JSD30112A not exist
JSD30112L not exist
JSD30121B not exist
JSD30122K not exist
JSD30131D not exist
JSD30134L not exist
JSD30151B not exist
JSD30152I not exist
LW3013C not exist
LW3033D not exist
LW3053I not exist
LW3073A not exist
LW3091A not exist
LW3093F not exist
LW3113E not exist
LW3133J not exist
LW3152B not exist
LW3171L not exist
LW3211A not exist
LW3293G not exist
LW3312B not exist
LW3332B not exist
LW3352F not exist
LW3371B not exist
LW3391A not exist
LW3411A not exist
LW3431B not exist
PXDS12S1B not exist
PXDS12B1D not exist
PXDS12B3D not exist
PXDS164C not exist
PXDS201A not exist
PXDS204H not exist
PXDS241D not exist
QLW1012B not exist
QLW1051B not exist
SHEBT081B not exist
SHEBT082I not exist
SHEBT084L not exist
SHEBT102F not exist
SHEBT104P not exist
SHEBT122C not exist
SHEBT124E not exist
SHEBT141E not exist
SHEBT144B not exist
SHEBW101A not exist
SHEBW102G not exist
SHEBW104R not exist
SHEBW121D not exist
SHEBW124F not exist
SHEBW141F not exist
SHEBW144C not exist
SHEBW181B not exist
SHEBW184D not exist
SHEBH083A not exist
SHEBH084C not exist
SHEBH101F not exist
SHEBH104F not exist
SHEBH105N not exist
SHEBH122I not exist
SHEBH125B not exist
SHEBH141F not exist
SHEBH144F not exist
SHEBH145N not exist
SHEBR162Q not exist
SHEBR202O not exist
SHEJC121E not exist
SHEJC161A not exist
SHEJC162B not exist
SHEOW162P not exist
SHEOW201F not exist
SHEDB141B not exist
SHEDB143I not exist
SHEDB163A not exist
SHEDB181E not exist
SHEDB183M not exist
SHEDW083C not exist
SHEDW084C not exist
SHEDW101C not exist
SHEDW102F not exist
SHEDW104F not exist
SHEDW123A not exist
SHEDW122I not exist
SHEDW124K not exist
SHEDW142E not exist
SHEDW144G not exist
SHEDW161G not exist
SHEDW164K not exist
SHEDW184A not exist
SHERD101B not exist
SHERD104B not exist
SHERD121C not exist
SHERD124C not exist
SHERD141E not exist
SHERD144D not exist
SHEFT081F not exist
SHEFT084F not exist
SHEFT101G not exist
SHEFT104P not exist
SHEFT122C not exist
SHEFT124R not exist
SHEFT141D not exist
SHEFT144K not exist
SHEFR4P4P not exist
SHEJD4P1D not exist
SHERY4P1F not exist
SHEST4P1C not exist
SHESPW101A not exist
SHESPW102G not exist
SHESPW104R not exist
SHESPW121D not exist
SHESPW124F not exist
SHESPW141F not exist
SHESPW144C not exist
SHESPW161B not exist
SHESPW164D not exist
SHESPW181F not exist
SHESPW184R not exist
SHESB143A not exist
SHESB161E not exist
SHESB163M not exist
SHESB183C not exist
SHEYW081F not exist
SHEYW082K not exist
SHEYW084D not exist
SHEYW101C not exist
SHEYW102E not exist
SHEYW104A not exist
SHEYW104L not exist
SHEYW121A not exist
SHEYW123C not exist
SHEYW122I not exist
SHEYW124R not exist
SHEYW125K not exist
SHEYW143C not exist
SHEYW144C not exist
SHEYW145B not exist
SHEYW161C not exist
SHEYW162K not exist
SHEYW164K not exist
SHEYW165L not exist
SHEYW183E not exist
SHEYW184D not exist
SHEYW185F not exist
SHEYW241B not exist
SYNKM2D not exist
SYN3WW1C not exist
SYN8PCR1F not exist
SYN8PDW1E not exist
SYN8PJC1C not exist
SYN8PKZ1B not exist
SYN8PST1A not exist
SYN8PST3G not exist
SYNPB7D not exist
SYNPB7H not exist
SYNPB8E not exist
SYNAEZT1A not exist
SYNAKB1K not exist
SYNAKB1T not exist
SYNAKB2B not exist
SYNAKB2M9 not exist
SYNAKB4F not exist
SYNAKB3C not exist
SYNAKB3M not exist
SYNBXCS2F not exist
SYNBXCM1B not exist
SYNBXCM3F not exist
SYNBX4P2B not exist
SYNBX4L1B not exist
SYNBXP1B not exist
SYNBXP2G not exist
SYNBXP4H not exist
SYNBFL122B not exist
SYNBFL181D not exist
DOME001H not exist
DOME003F not exist
DOME005E not exist
DOME007A not exist
DOME007K not exist
DOME009H not exist
DOME011F not exist
DOME013E not exist
DOME015A not exist
DOME015K not exist
DOME017I not exist
DOME019G not exist
DOME021E not exist
DOME023C not exist
